team_name,team_id
100 Thieves,1
9z Team,50
All Gamers,13
BBL Esports,25
Bilibili Gaming,14
Cloud9,2
DetonatioN FocusMe,37
Dragon Ranger Gaming,23
EDward Gaming,15
ENVY,12
Eternal Fire,35
Evil Geniuses,3
Fnatic,26
FULL SENSE,46
FunPlus Phoenix,16
FURIA,4
FUT Esports,27
G2 Esports,11
Gen.G Esports,39
Gentle Mates,34
GIANTX,33
Global Esports,40
JD Gaming,17
Karmine Corp,28
KRX,38
KRÜ Esports,5
Leviatán,6
LOUD,7
M80,52
MIBR,8
Natus Vincere,29
Nongshim RedForce,47
Nova Esports,18
NRG,9
OXEN,51
Paper Rex,41
PCIFIC Esports,36
Rex Regum Qeon,42
Sentinels,10
T1,43
Team Heretics,30
Team Liquid,31
Team Secret,44
Team Vitality,32
Titan Esports Club,19
Trace Esports,20
TYLOO,21
VARREL,48
Winthrop University,49
Wolves Esports,22
XLG Esports,24
ZETA DIVISION,45
